KEY,English,PortugueseBR,SpanishLA
MenuSubtitle,"Classic chess. Soft neon themes. Quick matches.","Xadrez clássico. Temas suaves. Partidas rápidas.","Ajedrez clásico. Temas suaves. Partidas rápidas."
MenuNavLabel,GAME MENUS,MENUS DO JOGO,MENÚS DEL JUEGO
MenuLounge,LOUNGE,LOUNGE,SALÓN
MenuDailyRewards,AURAS,AURAS,AURAS
MenuDailyQuests,TRIPS,VIAGENS,VIAJES
MenuStats,STATS,STATS,STATS
MenuSettings,SETTINGS,OPÇÕES,AJUSTES
ButtonPlay,PLAY,JOGAR,JUGAR
ButtonBack,BACK,VOLTAR,ATRÁS
ButtonMenu,MENU,MENU,MENÚ
ButtonDone,DONE,PRONTO,LISTO
ButtonTest,TEST,TESTAR,PROBAR
PlayerSummary,PLAYER SUMMARY,RESUMO DO JOGADOR,RESUMEN DEL JUGADOR
LabelWins,WINS,VITÓRIAS,VICTORIAS
LabelAuras,AURAS,AURAS,AURAS
LabelTurn,TURN,TURNO,TURNO
LabelMoves,MOVES,JOGADAS,JUGADAS
LabelCaptures,CAPTURES,CAPTURAS,CAPTURAS
LabelChecks,CHECKS,XEQUES,JAQUES
LabelScore,SCORE,PONTOS,PUNTOS
LabelDay,DAY,DIA,DÍA
LoadingCopy,Setting the board…,Montando o tabuleiro…,Preparando el tablero…
Paused,PAUSED,PAUSADO,EN PAUSA
PausedEyebrow,MATCH HELD,PARTIDA PAUSADA,PARTIDA EN PAUSA
PausedResume,TAP TO RESUME,TOQUE PARA CONTINUAR,TOCA PARA CONTINUAR
HelperUndo,UNDO,DESFAZER,DESHACER
HelperUndoHint,Rewind the last exchange.,Desfaz a última troca.,Deshace el último intercambio.
HelperHint,HINT,DICA,PISTA
HelperHintHint,Glow a strong legal idea.,Destaca uma boa jogada legal.,Resalta una buena jugada legal.
ResultsAgain,PLAY AGAIN,JOGAR DE NOVO,JUGAR OTRA VEZ
ResultsLounge,BACK TO LOUNGE,VOLTAR AO LOUNGE,VOLVER AL SALÓN
ResultsDoubleAuras,WATCH · DOUBLE [auras] AURAS,ASSISTIR · DOBRAR [auras] AURAS,VER · DUPLICAR [auras] AURAS
AdLoading,LOADING…,CARREGANDO…,CARGANDO…
AdUnavailable,NO VIDEO AVAILABLE RIGHT NOW,NENHUM VÍDEO DISPONÍVEL AGORA,NINGÚN VIDEO DISPONIBLE AHORA
KickerLounge,THEMES,TEMAS,TEMAS
LoungeBody,"Themes never change the rules — only the colours.","Temas nunca mudam as regras — só as cores.","Los temas nunca cambian las reglas — solo los colores."
LoungeProducts,RUN BITS SHOP,LOJA RUN BITS,TIENDA RUN BITS
LoungeProductsBody,"Permanent unlocks, bought with Run Bits.","Desbloqueios permanentes, comprados com Run Bits.","Desbloqueos permanentes, comprados con Run Bits."
LoungeSafetyNote,"Ownership is read from RUN entitlements every session, never from this device.","A posse é lida das permissões da RUN a cada sessão, nunca deste aparelho.","La propiedad se lee de las licencias de RUN cada sesión, nunca de este dispositivo."
ThemeSelect,SELECT,SELECIONAR,SELECCIONAR
ThemeSelected,IN USE,EM USO,EN USO
ThemeUnlockAuras,UNLOCK · [cost],DESBLOQUEAR · [cost],DESBLOQUEAR · [cost]
NotEnoughAuras,NOT ENOUGH AURAS YET,AURAS INSUFICIENTES,AURAS INSUFICIENTES
Owned,RUN BITS,RUN BITS,RUN BITS
ProductOwned,OWNED,ADQUIRIDO,ADQUIRIDO
PurchaseWorking,OPENING CHECKOUT…,ABRINDO PAGAMENTO…,ABRIENDO PAGO…
PurchaseConfirmed,UNLOCKED — THANK YOU,DESBLOQUEADO — OBRIGADO,DESBLOQUEADO — GRACIAS
PurchaseCancelled,PURCHASE CANCELLED,COMPRA CANCELADA,COMPRA CANCELADA
PurchaseFailed,PURCHASE DID NOT COMPLETE,A COMPRA NÃO FOI CONCLUÍDA,LA COMPRA NO SE COMPLETÓ
PurchasePending,STILL CONFIRMING — WE WILL FINISH THIS NEXT TIME YOU OPEN THE GAME,AINDA CONFIRMANDO — TERMINAREMOS NA PRÓXIMA VEZ,AÚN CONFIRMANDO — LO TERMINAREMOS LA PRÓXIMA VEZ
PurchaseUnavailable,NOT AVAILABLE RIGHT NOW,INDISPONÍVEL AGORA,NO DISPONIBLE AHORA
